Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Cools, Anne C.;1943-08-11;Senator (1984/01/13 - 2018/08/11);"Toronto Centre -York (2001/02/15 - 2018/08/11)
Toronto Centre (1984/01/13 - 2001/02/14)";"Ontario
Ontario";F;"Independent Senators Group (2017/06/01 - 2018/08/11)
Non-affiliated (Independent Senators Group) (2017/03/10 - 2017/05/31)
Non-affiliated (2016/06/13 - 2017/03/09)
Independent (2010/07/08 - 2016/06/12)
No political alignment (2007/12/13 - 2010/07/07)
Conservative Party of Canada (2004/06/08 - 2007/12/12)
Liberal Party of Canada (1984/01/13 - 2004/06/07)"
Cooper, Albert Glen;1952-06-18;MP (1980/02/18 - 1993/09/08);Peace River (1980/02/18 - 1993/09/08);Alberta;M;Progressive Conservative Party (1980/02/18 - 1993/10/24)
Copps, Sheila Maureen;1952-11-26;"MP (1996/06/17 - 2004/06/27)
MP (1984/09/04 - 1996/05/01)";"Hamilton East (1996/06/17 - 2004/06/27)
Hamilton East (1984/09/04 - 1996/05/01)";"Ontario
Ontario";F;Liberal Party of Canada (1984/09/04 - 2004/06/27)
Corbeil, Jean;1934-01-06;MP (1988/11/21 - 1993/10/24);Anjou--Rivière-des-Prairies (1988/11/21 - 1993/10/24);Quebec;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Corbett, Robert Alfred;1938-12-13;MP (1978/10/16 - 1993/10/24);Fundy--Royal (1978/10/16 - 1993/10/24);New Brunswick;M;Progressive Conservative Party (1978/10/16 - 1993/10/24)
Corbin, Eymard G.;1934-08-01;"MP (1968/06/25 - 1984/07/08)
Senator (1984/07/09 - 2009/08/02)";"Grand-Sault (1984/07/09 - 2009/08/02)
Madawaska--Victoria (1968/06/25 - 1984/07/08)";"New Brunswick
New Brunswick";M;Liberal Party of Canada (1968/06/25 - 2009/08/02)
Côté, Yvon;1939-03-15;MP (1988/11/21 - 1993/10/24);Richmond--Wolfe (1988/11/21 - 1993/10/24);Quebec;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Cottreau, Ernest G.;1914-01-27;Senator (1974/05/08 - 1989/01/28);South Western Nova (1974/05/08 - 1989/01/28);Nova Scotia;M;Liberal Party of Canada (1974/05/08 - 1989/01/28)
Couture, Clément;1939-08-01;MP (1988/11/21 - 1993/10/24);Saint-Jean (1988/11/21 - 1993/10/24);Quebec;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Crawford, Rex;1932-02-24;MP (1988/11/21 - 1997/06/01);Kent (1988/11/21 - 1997/06/01);Ontario;M;Liberal Party of Canada (1988/11/21 - 1997/06/01)
Croll, David Arnold;1900-03-11;"MP (1945/06/11 - 1955/07/27)
Senator (1955/07/28 - 1991/06/11)";"Toronto-Spadina (1955/07/28 - 1991/06/11)
Spadina (1945/06/11 - 1955/07/27)";"Ontario
Ontario";M;Liberal Party of Canada (1945/06/11 - 1991/06/11)
Crosbie, John Carnell;1931-01-29;"MP (1988/11/21 - 1993/10/24)
MP (1976/10/18 - 1988/11/20)";"St. John's West (1988/11/21 - 1993/10/24)
St. John's West (1976/10/18 - 1988/11/20)";"Newfoundland and Labrador
Newfoundland and Labrador";M;Progressive Conservative Party (1976/10/18 - 1993/10/24)
Crosby, Howard Edward;1933-11-25;"MP (1979/05/22 - 1993/10/24)
MP (1978/10/16 - 1979/05/21)";"Halifax West (1979/05/22 - 1993/10/24)
Halifax--East Hants (1978/10/16 - 1979/05/21)";"Nova Scotia
Nova Scotia";M;Progressive Conservative Party (1978/10/16 - 1993/10/24)
Danis, Marcel;1943-10-21;MP (1984/09/04 - 1993/10/24);Verchères (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Darling, Stan;1911-07-15;MP (1972/10/30 - 1993/10/24);Parry Sound--Muskoka (1972/10/30 - 1993/10/24);Ontario;M;Progressive Conservative Party (1972/10/30 - 1993/10/24)
Davey, Keith Douglas;1926-04-20;Senator (1966/02/24 - 1996/07/01);York (1966/02/24 - 1996/07/01);Ontario;M;Liberal Party of Canada (1966/02/24 - 1996/07/01)
David, Paul;1919-12-24;Senator (1985/04/16 - 1994/12/25);Bedford (1985/04/16 - 1994/12/25);Quebec;M;Progressive Conservative Party (1985/04/16 - 1994/12/25)
De Bané, Pierre;1938-08-01;"MP (1979/05/22 - 1984/06/28)
MP (1968/06/25 - 1979/05/21)
Senator (1984/06/29 - 2013/08/02)";"De la Vallière (1984/06/29 - 2013/08/02)
Matapédia--Matane (1979/05/22 - 1984/06/28)
Matane (1968/06/25 - 1979/05/21)";"Quebec
Quebec
Quebec";M;Liberal Party of Canada (1968/06/25 - 2013/08/02)
de Cotret, Robert René;1944-02-19;"MP (1988/11/21 - 1993/06/16)
MP (1984/09/04 - 1988/11/20)
MP (1978/10/16 - 1979/05/21)
Senator (1979/06/05 - 1980/01/14)";"Berthier--Montcalm (1988/11/21 - 1993/06/16)
Berthier--Maskinongé--Lanaudière (1984/09/04 - 1988/11/20)
Ottawa (1979/06/05 - 1980/01/14)
Ottawa Centre (1978/10/16 - 1979/05/21)";"Quebec
Quebec
Ontario
Ontario";M;"Progressive Conservative Party (1984/09/04 - 1993/10/24)
Progressive Conservative Party (1979/06/05 - 1980/01/14)
Progressive Conservative Party (1978/10/16 - 1979/05/21)"
de Jong, Simon Leendert;1942-04-08;"MP (1988/11/21 - 1997/06/01)
MP (1979/05/22 - 1988/11/20)";"Regina--Qu'Appelle (1988/11/21 - 1997/06/01)
Regina East (1979/05/22 - 1988/11/20)";"Saskatchewan
Saskatchewan";M;New Democratic Party (1979/05/22 - 1997/06/01)
Deblois, Charles;1939-05-26;"MP (1990/12/19 - 1993/10/24)
MP (1988/11/21 - 1990/12/18)";"Beauport--Montmorency--Orléans (1990/12/19 - 1993/10/24)
Montmorency--Orléans (1988/11/21 - 1990/12/18)";"Quebec
Quebec";M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Della Noce, Vincent;1943-11-17;"MP (1990/12/19 - 1993/10/24)
MP (1984/09/04 - 1990/12/18)";"Laval East (1990/12/19 - 1993/10/24)
Duvernay (1984/09/04 - 1990/12/18)";"Quebec
Quebec";M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Denis, Azellus;1907-03-25;"MP (1953/08/10 - 1964/02/02)
MP (1949/06/27 - 1953/08/09)
MP (1935/10/14 - 1949/06/26)
Senator (1964/02/03 - 1991/09/04)";"La Salle (1964/02/03 - 1991/09/04)
Saint-Denis (1953/08/10 - 1964/02/02)
St-Denis (1949/06/27 - 1953/08/09)
St. Denis (1935/10/14 - 1949/06/26)";"Quebec
Quebec
Quebec
Quebec";M;Liberal Party of Canada (1935/10/14 - 1991/09/04)
Desjardins, Gabriel;1949-02-13;MP (1984/09/04 - 1993/10/24);Témiscamingue (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Desmarais, Jean Noël;1924-04-10;Senator (1993/06/04 - 1995/07/25);Sudbury (1993/06/04 - 1995/07/25);Ontario;M;Progressive Conservative Party (1993/06/04 - 1995/07/25)
DeWare, Mabel M.;1926-08-08;Senator (1990/09/23 - 2001/08/09);Moncton (1990/09/23 - 2001/08/09);New Brunswick;F;Progressive Conservative Party (1990/09/23 - 2001/08/09)
Di Nino, Consiglio;1938-01-23;Senator (1990/08/30 - 2012/06/30);Ontario (1990/08/30 - 2012/06/30);Ontario;M;"Conservative Party of Canada (2004/02/02 - 2012/06/30)
Progressive Conservative Party (1990/08/30 - 2004/02/01)"
Dick, Paul Wyatt;1940-10-26;"MP (1988/11/21 - 1993/10/24)
MP (1972/10/30 - 1988/11/20)";"Lanark--Carleton (1988/11/21 - 1993/10/24)
Lanark--Renfrew--Carleton (1972/10/30 - 1988/11/20)";"Ontario
Ontario";M;Progressive Conservative Party (1972/10/30 - 1993/10/24)
Dingwall, David Charles;1952-06-28;MP (1980/02/18 - 1997/06/01);Cape Breton--East Richmond (1980/02/18 - 1997/06/01);Nova Scotia;M;Liberal Party of Canada (1980/02/18 - 1997/06/02)
Dionne, Maurice Adrian;1936-08-25;"MP (1988/11/21 - 1993/10/24)
MP (1974/07/08 - 1984/09/03)";"Miramichi (1988/11/21 - 1993/10/24)
Northumberland--Miramichi (1974/07/08 - 1984/09/03)";"New Brunswick
New Brunswick";M;"Liberal Party of Canada (1988/11/21 - 1993/10/24)
Liberal Party of Canada (1974/07/08 - 1984/09/03)"
Dobbie, Dorothy I.;1945-01-04;MP (1988/11/21 - 1993/10/24);Winnipeg South (1988/11/21 - 1993/10/24);Manitoba;F;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Domm, William Henry (Bill);1930-07-23;MP (1979/05/22 - 1993/10/24);Peterborough (1979/05/22 - 1993/10/24);Ontario;M;Progressive Conservative Party (1979/05/22 - 1993/10/24)
Doody, C. William;1931-02-25;Senator (1979/10/03 - 2005/12/27);Harbour Main-Bell Island (1979/10/03 - 2005/12/27);Newfoundland and Labrador;M;"Progressive Conservative Party (1979/10/09 - 2005/12/27)
Progressive Conservative Party (1979/10/03 - 2005/12/27)"
Dorin, Murray;1954-05-20;"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)";"Edmonton Northwest (1988/11/21 - 1993/10/24)
Edmonton West (1984/09/04 - 1988/11/20)";"Alberta
Alberta";M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Doyle, Richard J.;1923-03-09;Senator (1985/03/19 - 1998/03/10);North York (1985/03/19 - 1998/03/10);Ontario;M;Progressive Conservative Party (1985/03/19 - 1998/03/10)
Duceppe, Gilles;1947-07-21;"MP (2004/09/01 - 2011/05/01)
MP (1990/08/13 - 2004/06/27)";"Laurier--Sainte-Marie (2004/09/01 - 2011/05/01)
Laurier--Sainte-Marie (1990/08/13 - 2004/06/27)";"Quebec
Quebec";M;"Bloc Québécois (1990/12/19 - 2011/05/01)
Independent (1990/08/13 - 1990/12/18)"
Duhamel, Ron J.;1938-03-01;"MP (1997/06/02 - 2002/01/14)
MP (1988/11/21 - 1997/06/01)
Senator (2002/01/15 - 2002/09/30)";"Manitoba (2002/01/15 - 2002/09/30)
Saint Boniface (1997/06/02 - 2002/01/14)
St. Boniface (1988/11/21 - 1997/06/01)";"Manitoba
Manitoba
Manitoba";M;Liberal Party of Canada (1988/11/21 - 2002/09/30)
Edmonston, Philip;1944-05-25;MP (1990/02/13 - 1993/10/24);Chambly (1990/02/13 - 1993/10/24);Quebec;M;New Democratic Party (1990/02/12 - 1993/10/24)
Edwards, James (Jim) Stewart;1936-08-30;"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)";"Edmonton Southwest (1988/11/21 - 1993/10/24)
Edmonton South (1984/09/04 - 1988/11/20)";"Alberta
Alberta";M;Progressive Conservative Party (1984/09/04 - 1993/10/25)
Epp, Arthur Jacob (Jake);1939-08-31;MP (1972/10/30 - 1993/09/01);Provencher (1972/10/30 - 1993/09/01);Manitoba;M;Progressive Conservative Party (1972/10/30 - 1993/10/24)
Everett, Douglas Donald;1927-08-11;Senator (1966/11/08 - 1994/01/20);Fort Rouge (1966/11/08 - 1994/01/20);Manitoba;M;"Independent (1990/12/13 - 1994/01/20)
Independent Liberal (1989/12/12 - 1990/12/12)
Liberal Party of Canada (1966/11/08 - 1989/12/11)"
Eyton, John Trevor;1934-07-11;Senator (1990/09/23 - 2009/07/12);Ontario (1990/09/23 - 2009/07/12);Ontario;M;"Conservative Party of Canada (2004/02/02 - 2009/07/12)
Progressive Conservative Party (1990/09/23 - 2004/02/01)"
Fairbairn, Joyce;1939-11-05;Senator (1984/06/29 - 2013/01/18);Lethbridge (1984/06/29 - 2013/01/18);Alberta;F;Liberal Party of Canada (1984/06/29 - 2013/01/18)
Fee, Douglas;1944-07-20;MP (1988/11/21 - 1993/10/24);Red Deer (1988/11/21 - 1993/10/24);Alberta;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Feltham, Louise;1935-03-21;MP (1988/11/21 - 1993/10/24);Wild Rose (1988/11/21 - 1993/10/24);Alberta;F;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Ferguson, Ralph;1929-09-12;"MP (1988/11/21 - 1993/10/24)
MP (1980/02/18 - 1984/09/03)";"Lambton--Middlesex (1988/11/21 - 1993/10/24)
Lambton--Middlesex (1980/02/18 - 1984/09/03)";"Ontario
Ontario";M;"Liberal Party of Canada (1988/11/21 - 1993/10/24)
Liberal Party of Canada (1980/02/18 - 1984/09/03)"
Ferland, Marc;1942-04-14;MP (1984/09/04 - 1993/10/24);Portneuf (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Finestone, Sheila;1927-01-27;"MP (1988/11/21 - 1999/08/10)
MP (1984/09/04 - 1988/11/20)
Senator (1999/08/11 - 2002/01/28)";"Montarville (1999/08/11 - 2002/01/28)
Mount Royal (1988/11/21 - 1999/08/10)
Mount Royal (1984/09/04 - 1988/11/20)";"Quebec
Quebec
Quebec";F;Liberal Party of Canada (1984/09/04 - 2002/01/28)
Fisher, Ron;1934-07-21;MP (1988/11/21 - 1993/10/24);Saskatoon--Dundurn (1988/11/21 - 1993/10/24);Saskatchewan;M;New Democratic Party (1988/11/21 - 1993/10/24)
Flis, Jesse Philip;1933-11-14;"MP (1988/11/21 - 1997/06/01)
MP (1979/05/22 - 1984/09/03)";"Parkdale--High Park (1988/11/21 - 1997/06/01)
Parkdale--High Park (1979/05/22 - 1984/09/03)";"Ontario
Ontario";M;"Liberal Party of Canada (1988/11/21 - 1997/06/01)
Liberal Party of Canada (1979/05/22 - 1984/09/03)"
Flynn, Jacques;1915-08-21;"MP (1958/03/31 - 1962/06/17)
Senator (1962/11/09 - 1990/08/22)";"Rougemont (1962/11/09 - 1990/08/22)
Quebec South (1958/03/31 - 1962/06/17)";"Quebec
Quebec";M;"Progressive Conservative Party (1962/11/09 - 1990/08/22)
Progressive Conservative Party (1958/03/31 - 1962/06/18)"
Fontaine, Gabriel;1940-09-16;MP (1984/09/04 - 1993/10/24);Lévis (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Fontana, Joseph Frank (Joe);1950-01-12;"MP (1997/06/02 - 2006/09/20)
MP (1988/11/21 - 1997/06/01)";"London North Centre (1997/06/02 - 2006/09/20)
London East (1988/11/21 - 1997/06/01)";"Ontario
Ontario";M;Liberal Party of Canada (1988/11/21 - 2006/09/20)
Forrestall, J. Michael;1932-09-22;"MP (1968/06/25 - 1988/11/20)
MP (1965/11/08 - 1968/06/24)
Senator (1990/09/27 - 2006/06/08)";"Dartmouth/Eastern Shore (1990/09/27 - 2006/06/08)
Dartmouth--Halifax East (1968/06/25 - 1988/11/20)
Halifax (1965/11/08 - 1968/06/24)";"Nova Scotia
Nova Scotia
Nova Scotia";M;"Conservative Party of Canada (2004/02/02 - 2006/06/08)
Progressive Conservative Party (1990/09/27 - 2004/02/01)
Progressive Conservative Party (1965/11/08 - 1988/11/20)"
Fortin-Duplessis, Suzanne;1940-06-29;"MP (1984/09/04 - 1993/10/24)
Senator (2009/01/14 - 2015/06/30)";"Rougemont (2009/01/14 - 2015/06/30)
Louis-Hébert (1984/09/04 - 1993/10/24)";"Quebec
Quebec";F;"Conservative Party of Canada (2009/01/14 - 2015/06/30)
Progressive Conservative Party (1984/09/04 - 1993/10/24)"
Foster, Maurice Brydon;1933-09-07;MP (1968/06/25 - 1993/10/24);Algoma (1968/06/25 - 1993/10/24);Ontario;M;Liberal Party of Canada (1968/06/25 - 1993/10/24)
Fraser, John Allen;1931-12-14;MP (1972/10/30 - 1993/10/24);Vancouver South (1972/10/30 - 1993/10/24);British Columbia;M;Progressive Conservative Party (1972/10/30 - 1993/10/24)
Fretz, Claude Girvin (Girve);1927-03-03;MP (1979/05/22 - 1993/10/24);Erie (1979/05/22 - 1993/10/24);Ontario;M;Progressive Conservative Party (1979/05/22 - 1993/10/24)
Friesen, Benno;1929-06-26;"MP (1990/12/19 - 1993/10/24)
MP (1988/11/21 - 1990/12/18)
MP (1979/05/22 - 1988/11/20)
MP (1974/07/08 - 1979/05/21)";"Surrey--White Rock--South Langley (1990/12/19 - 1993/10/24)
Surrey--White Rock (1988/11/21 - 1990/12/18)
Surrey--White Rock--North Delta (1979/05/22 - 1988/11/20)
Surrey--White Rock (1974/07/08 - 1979/05/21)";"British Columbia
British Columbia
British Columbia
British Columbia";M;Progressive Conservative Party (1974/07/08 - 1993/10/24)
Frith, Royce Herbert;1923-11-11;Senator (1977/04/05 - 1994/08/29);Glen Tay (1977/04/05 - 1994/08/29);Ontario;M;Liberal Party of Canada (1977/04/05 - 1994/08/29)
Fulton, James Ross;1950-01-21;MP (1979/05/22 - 1993/10/24);Skeena (1979/05/22 - 1993/10/24);British Columbia;M;New Democratic Party (1979/05/22 - 1993/10/24)
Funk, Raymond John;1948-02-12;MP (1988/11/21 - 1993/10/24);Prince Albert--Churchill River (1988/11/21 - 1993/10/24);Saskatchewan;M;New Democratic Party (1988/11/21 - 1993/10/24)
Gaffney, Beryl;1930-03-31;MP (1988/11/21 - 1997/06/01);Nepean (1988/11/21 - 1997/06/01);Ontario;F;Liberal Party of Canada (1988/11/21 - 1997/06/01)
Gagliano, Alfonso;1942-01-24;"MP (1997/06/02 - 2002/01/14)
MP (1988/11/21 - 1997/06/01)
MP (1984/09/04 - 1988/11/20)";"Saint-Léonard--Saint-Michel (1997/06/02 - 2002/01/14)
Saint-Léonard (1988/11/21 - 1997/06/01)
Saint-Léonard--Anjou (1984/09/04 - 1988/11/20)";"Quebec
Quebec
Quebec";M;Liberal Party of Canada (1984/09/04 - 2005/11/01)
Gardiner, Brian L.;1955-08-17;MP (1988/11/21 - 1993/10/24);Prince George--Bulkley Valley (1988/11/21 - 1993/10/24);British Columbia;M;New Democratic Party (1984/09/04 - 1993/10/24)
Gauthier, Jean-Robert;1929-10-21;"MP (1974/07/08 - 1994/11/22)
MP (1972/10/30 - 1974/07/07)
Senator (1994/11/23 - 2004/10/22)";"Ottawa-Vanier (2001/12/04 - 2004/10/22)
Ontario (1994/11/23 - 2001/12/03)
Ottawa--Vanier (1974/07/08 - 1994/11/22)
Ottawa East (1972/10/30 - 1974/07/07)";"Ontario
Ontario
Ontario
Ontario";M;Liberal Party of Canada (1972/10/30 - 2004/10/22)
Gérin, François;1944-08-02;MP (1984/09/04 - 1993/10/24);Mégantic--Compton--Stanstead (1984/09/04 - 1993/10/24);Quebec;M;"Bloc Québécois (1991/09/26 - 1993/10/24)
Independent (1990/05/18 - 1991/09/25)
Progressive Conservative Party (1984/09/04 - 1990/05/17)"
Ghitter, Ronald D.;1935-08-21;Senator (1993/03/25 - 2000/03/31);Alberta (1993/03/25 - 2000/03/31);Alberta;M;Progressive Conservative Party (1993/03/25 - 2000/03/31)
Gibeau, Marie;1950-07-10;MP (1988/11/21 - 1993/10/24);Bourassa (1988/11/21 - 1993/10/24);Quebec;F;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Gigantès, Philippe D.;1923-08-15;Senator (1984/01/13 - 1998/08/16);De Lorimier (1984/01/13 - 1998/08/16);Quebec;M;Liberal Party of Canada (1984/01/13 - 1998/08/16)
Grafstein, Jerahmiel S.;1935-01-01;Senator (1984/01/13 - 2010/01/02);Metro Toronto (1984/01/13 - 2010/01/02);Ontario;M;Liberal Party of Canada (1984/01/13 - 2010/01/02)
Graham, B. Alasdair;1929-05-20;Senator (1972/04/27 - 2004/05/21);The Highlands (1972/04/27 - 2004/05/21);Nova Scotia;M;Liberal Party of Canada (1972/04/27 - 2004/05/21)
Gray, Darryl L.;1946-12-28;MP (1984/09/04 - 1993/10/24);Bonaventure--Îles-de-la-Madeleine (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Gray, Herbert Eser (Herb);1931-05-24;"MP (1968/06/25 - 2002/01/14)
MP (1962/06/18 - 1968/06/24)";"Windsor West (1968/06/25 - 2002/01/14)
Essex West (1962/06/18 - 1968/06/24)";"Ontario
Ontario";M;Liberal Party of Canada (1962/06/18 - 2002/01/14)
Greene, Barbara;1945-08-31;MP (1988/11/21 - 1993/10/24);Don Valley North (1988/11/21 - 1993/10/24);Ontario;F;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Grey, Deborah C.;1952-06-30;"MP (1997/06/02 - 2004/06/27)
MP (1989/03/13 - 1997/06/01)";"Edmonton North (1997/06/02 - 2004/06/27)
Beaver River (1989/03/13 - 1997/06/01)";"Alberta
Alberta";F;"Conservative Party of Canada (2003/12/23 - 2004/06/27)
Canadian Reform Conservative Alliance (2002/04/16 - 2003/12/22)
Independent (2002/04/10 - 2002/04/16)
Canadian Reform Conservative Alliance (2000/03/27 - 2002/04/09)
Reform Party of Canada (1989/03/13 - 2000/03/26)"
Grimard, Normand;1925-06-15;Senator (1990/09/27 - 2000/06/16);Québec (1990/09/27 - 2000/06/16);Quebec;M;Progressive Conservative Party (1990/09/27 - 2000/06/16)
Grisé, Richard;1944-01-14;MP (1984/09/04 - 1989/05/30);Chambly (1984/09/04 - 1989/05/30);Quebec;M;"Independent (1989/04/18 - 1989/05/30)
Progressive Conservative Party (1984/09/04 - 1989/04/17)"
Guarnieri, Albina;1953-06-22;"MP (2004/06/28 - 2011/05/01)
MP (1988/11/21 - 2004/06/27)";"Mississauga East--Cooksville (2004/06/28 - 2011/05/01)
Mississauga East (1988/11/21 - 2004/06/27)";"Ontario
Ontario";F;Liberal Party of Canada (1988/11/21 - 2011/05/01)
Guay, Joseph-Phillippe;1915-10-03;"MP (1968/06/25 - 1978/03/22)
Senator (1978/03/23 - 1990/10/04)";"St. Boniface (1978/03/23 - 1990/10/04)
St. Boniface (1968/06/25 - 1978/03/22)";"Manitoba
Manitoba";M;Liberal Party of Canada (1968/06/25 - 1990/10/04)
Guilbault, Jean-Guy;1931-03-13;MP (1984/09/04 - 1993/10/24);Drummond (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Gustafson, Leonard J.;1933-11-09;"MP (1988/11/21 - 1993/05/25)
MP (1979/05/22 - 1988/11/20)
Senator (1993/05/26 - 2008/11/10)";"Saskatchewan (1993/05/26 - 2008/11/10)
Souris--Moose Mountain (1988/11/21 - 1993/05/25)
Assiniboia (1979/05/22 - 1988/11/20)";"Saskatchewan
Saskatchewan
Saskatchewan";M;"Conservative Party of Canada (2004/02/02 - 2008/11/10)
Progressive Conservative Party (1979/05/22 - 2004/02/01)"
Haidasz, Stanley;1923-03-03;"MP (1962/06/18 - 1978/03/22)
MP (1957/06/10 - 1958/03/30)
Senator (1978/03/23 - 1998/03/04)";"Toronto-Parkdale (1978/03/23 - 1998/03/04)
Parkdale (1962/06/18 - 1978/03/22)
Trinity (1957/06/10 - 1958/03/30)";"Ontario
Ontario
Ontario";M;"Liberal Party of Canada (1962/06/18 - 1998/03/04)
Liberal Party of Canada (1957/06/10 - 1958/03/30)"
Halliday, Bruce;1926-06-17;MP (1974/07/08 - 1993/10/24);Oxford (1974/07/08 - 1993/10/24);Ontario;M;Progressive Conservative Party (1974/07/08 - 1993/10/24)
Harb, Mac;1953-11-09;"MP (1988/11/21 - 2003/09/08)
Senator (2003/09/09 - 2013/08/26)";"Ontario (2003/09/09 - 2013/08/26)
Ottawa Centre (1988/11/21 - 2003/09/08)";"Ontario
Ontario";M;"Independent (2013/05/10 - 2013/08/26)
Liberal Party of Canada (1988/11/21 - 2013/05/09)"
Harvard, John;1938-06-03;"MP (1998/06/18 - 2004/05/06)
MP (1997/06/02 - 1998/06/17)
MP (1988/11/21 - 1997/06/01)";"Charleswood St. James--Assiniboia (1998/06/18 - 2004/05/06)
Charleswood--Assiniboine (1997/06/02 - 1998/06/17)
Winnipeg--St. James (1988/11/21 - 1997/06/01)";"Manitoba
Manitoba
Manitoba";M;Liberal Party of Canada (1988/11/21 - 2004/05/06)
Harvey, André;1941-09-15;"MP (2000/06/29 - 2004/06/27)
MP (1997/06/02 - 2000/06/28)
MP (1984/09/04 - 1993/10/24)";"Chicoutimi--Le Fjord (2000/06/29 - 2004/06/27)
Chicoutimi (1997/06/02 - 2000/06/28)
Chicoutimi (1984/09/04 - 1993/10/24)";"Quebec
Quebec
Quebec";M;"Liberal Party of Canada (2000/10/04 - 2004/06/27)
Independent (2000/04/26 - 2000/10/03)
Progressive Conservative Party (1997/06/02 - 2000/04/25)
Progressive Conservative Party (1984/09/04 - 1993/10/24)"
Harvey, Ross;1952-04-24;MP (1988/11/21 - 1993/10/24);Edmonton East (1988/11/21 - 1993/10/24);Alberta;M;New Democratic Party (1988/11/21 - 1993/10/25)
Hastings, Earl Adams;1924-01-06;Senator (1966/02/24 - 1996/05/05);Palliser-Foothills (1966/02/24 - 1996/05/05);Alberta;M;Liberal Party of Canada (1966/02/24 - 1996/05/05)
Hatfield, Richard Bennett;1931-04-08;Senator (1990/09/07 - 1991/04/26);New Brunswick (1990/09/07 - 1991/04/26);New Brunswick;M;Progressive Conservative Party (1990/09/07 - 1991/04/26)
Hawkes, Frederick James (Jim);1934-06-20;MP (1979/05/22 - 1993/10/24);Calgary West (1979/05/22 - 1993/10/24);Alberta;M;Progressive Conservative Party (1979/05/22 - 1993/10/24)
Hays, Daniel;1939-04-23;Senator (1984/06/29 - 2007/06/30);Calgary (1984/06/29 - 2007/06/30);Alberta;M;Liberal Party of Canada (1984/06/29 - 2007/06/30)
Heap, Daniel James Macdonnell;1925-09-23;"MP (1988/11/21 - 1993/10/24)
MP (1981/08/17 - 1988/11/20)";"Trinity--Spadina (1988/11/21 - 1993/10/24)
Spadina (1981/08/17 - 1988/11/20)";"Ontario
Ontario";M;New Democratic Party (1981/08/17 - 1993/10/24)
Hébert, Jacques;1923-06-20;Senator (1983/04/20 - 1998/06/21);Wellington (1983/04/20 - 1998/06/21);Quebec;M;Liberal Party of Canada (1983/04/20 - 1998/06/21)
Hicks, Henry Davies;1915-03-04;Senator (1972/04/27 - 1990/03/05);The Annapolis Valley (1972/04/27 - 1990/03/05);Nova Scotia;M;Liberal Party of Canada (1972/04/27 - 1990/03/05)
Hicks, Robert Nelson David;1933-06-03;MP (1984/09/04 - 1993/10/24);Scarborough East (1984/09/04 - 1993/10/24);Ontario;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Hnatyshyn, Ramon John;1934-03-15;"MP (1979/05/22 - 1988/11/20)
MP (1974/07/08 - 1979/05/21)";"Saskatoon West (1979/05/22 - 1988/11/20)
Saskatoon--Biggar (1974/07/08 - 1979/05/21)";"Saskatchewan
Saskatchewan";M;Progressive Conservative Party (1974/07/08 - 1988/11/21)
Hockin, Thomas;1938-03-04;MP (1984/09/04 - 1993/10/24);London West (1984/09/04 - 1993/10/24);Ontario;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Hogue, Jean-Pierre;1927-11-23;MP (1988/11/21 - 1993/10/24);Outremont (1988/11/21 - 1993/10/24);Quebec;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Holtmann, Felix;1944-12-04;"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)";"Portage--Interlake (1988/11/21 - 1993/10/24)
Selkirk--Interlake (1984/09/04 - 1988/11/20)";"Manitoba
Manitoba";M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
